2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-bdb63e29446c6e8e27808af94d0bc963-query.fastq.9 query.fastq.9 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa ref.fasta.sa 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-35f59a9883b4870b84f03717aff16002-ref.fasta.ann ref.fasta.ann 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-1aba5e7adecebe065db19a405fb8bdf0-ref.fasta.amb ref.fasta.amb 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-d4ff2b390cdd34b642d74a1cd1b59b97-ref.fasta.pac ref.fasta.pac 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-0cadea4f68da3f941c5b5f0c963a59f8-ref.fasta.bwt ref.fasta.bwt 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-b08c3e9746692f64bcb9a448620c7967-ref.fasta ref.fasta 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: infile file-0-a6be17d8a097bb9efd120be10bbc654c-bwa bwa 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: outfile file-0-975aee508f6ee77c30cf000ff595c235-mem.9.err mem.9.err 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: outfile file-0-533c4a30895b2ce3c27e79c302b4d22f-Out.9.sam Out.9.sam 1
2019/11/25 18:41:27.93 work_queue_worker[1] wq: rx from master: end
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-bdb63e29446c6e8e27808af94d0bc963-query.fastq.9 to /tmp/worker-0-1/t.1/query.fastq.9
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa to /tmp/worker-0-1/t.1/ref.fasta.sa
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-35f59a9883b4870b84f03717aff16002-ref.fasta.ann to /tmp/worker-0-1/t.1/ref.fasta.ann
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-1aba5e7adecebe065db19a405fb8bdf0-ref.fasta.amb to /tmp/worker-0-1/t.1/ref.fasta.amb
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-d4ff2b390cdd34b642d74a1cd1b59b97-ref.fasta.pac to /tmp/worker-0-1/t.1/ref.fasta.pac
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-0cadea4f68da3f941c5b5f0c963a59f8-ref.fasta.bwt to /tmp/worker-0-1/t.1/ref.fasta.bwt
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-b08c3e9746692f64bcb9a448620c7967-ref.fasta to /tmp/worker-0-1/t.1/ref.fasta
2019/11/25 18:41:27.94 work_queue_worker[1] wq: linking cache/file-0-a6be17d8a097bb9efd120be10bbc654c-bwa to /tmp/worker-0-1/t.1/bwa
2019/11/25 18:41:27.94 work_queue_worker[1] wq: started process 11: ./bwa mem ref.fasta query.fastq.9 > Out.9.sam 2> mem.9.err
2019/11/25 18:41:27.94 work_queue_worker[1] wq: tx to master: info tasks_running 1
2019/11/25 18:41:29.32 work_queue_worker[1] wq: task 1 (pid 11) exited normally with exit code 0
2019/11/25 18:41:29.32 work_queue_worker[1] wq: moving output file from /tmp/worker-0-1/t.1/mem.9.err to cache/file-0-975aee508f6ee77c30cf000ff595c235-mem.9.err
2019/11/25 18:41:29.32 work_queue_worker[1] wq: moving output file from /tmp/worker-0-1/t.1/Out.9.sam to cache/file-0-533c4a30895b2ce3c27e79c302b4d22f-Out.9.sam
2019/11/25 18:41:29.32 work_queue_worker[1] wq: tx to master: available_results
2019/11/25 18:41:29.62 work_queue_worker[1] wq: rx from master: send_results -1
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: result 0 0 0 1382127 1
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: info tasks_running 0
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: end
2019/11/25 18:41:29.62 work_queue_worker[1] wq: rx from master: get file-0-975aee508f6ee77c30cf000ff595c235-mem.9.err 1
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: file file-0-975aee508f6ee77c30cf000ff595c235-mem.9.err 416
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: end
2019/11/25 18:41:29.62 work_queue_worker[1] wq: rx from master: get file-0-533c4a30895b2ce3c27e79c302b4d22f-Out.9.sam 1
2019/11/25 18:41:29.62 work_queue_worker[1] wq: tx to master: file file-0-533c4a30895b2ce3c27e79c302b4d22f-Out.9.sam 7093204
2019/11/25 18:41:29.63 work_queue_worker[1] wq: tx to master: end
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: kill 1
2019/11/25 18:41:29.63 work_queue_worker[1] wq: ---- DELETING: /tmp/worker-0-1/t.1
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: task 3
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: cmd 58
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: ./bwa mem ref.fasta query.fastq.7 > Out.7.sam 2> mem.7.err
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: category default
2019/11/25 18:41:29.63 work_queue_worker[1] wq: rx from master: cores 7
